MagpieData avg_dev Column,MagpieData minimum MeltingT,MagpieData avg_dev NdValence,MagpieData avg_dev NsValence,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mean NUnfilled,MagpieData mean SpaceGroupNumber,MagpieData minimum NUnfilled,MagpieData avg_dev GSmagmom,MagpieData avg_dev NdUnfilled,MagpieData avg_dev SpaceGroupNumber,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData mean Number,MagpieData minimum NValence,MagpieData mode NValence,V0
1.8272189349112435,1071.0,1.8272189349112435,0.0,61.0,53.12307692307692,3.9538461538461536,216.41538461538465,0.0,0.276322624852071,1.5024852071005914,12.414674556213011,1768.0,1640.0615384615385,31.246153846153845,2.0,10.0,293
2.3987671378467423,923.0,2.637899883090658,0.0,73.0,53.05567010309278,3.2886597938144324,218.52577319587624,0.0,0.2217257680071539,2.0945902858964813,10.14518014666811,1799.0,1598.8557731958758,31.61030927835052,2.0,10.0,323
2.0,1193.0,2.0,0.0,61.0,52.0,3.5,220.5,2.0,0.4539852888888888,2.0,8.833333333333334,1811.0,1652.6666666666667,32.5,3.0,10.0,363
2.5274074074074075,923.0,2.5274074074074075,0.0,68.0,54.42222222222223,2.897777777777778,217.42222222222225,0.0,0.2152285530864198,1.7945283950617283,11.450864197530867,1768.0,1589.6,31.022222222222226,2.0,10.0,278
1.904761904761905,1519.0,1.9047619047619049,0.0,55.0,48.14761904761905,6.199999999999999,209.52380952380952,4.0,0.995474269700524,1.904761904761905,16.263038548752835,2128.0,1852.6047619047624,24.228571428571428,3.0,4.0,373
1.0601999999999998,923.0,0.0392,0.0,73.0,67.13,0.43,195.55,0.0,0.0,0.3528,2.94500000000001,1799.0,941.0435,12.59,2.0,2.0,613
1.944444444444444,1193.0,1.9444444444444449,0.0,61.0,53.0,3.1666666666666665,219.8333333333333,2.0,0.1653874166666667,1.9444444444444444,8.611111111111105,1728.0,1638.8333333333333,32.833333333333336,3.0,10.0,343
2.5261961873500822,923.0,2.578462315364221,0.0,68.0,53.438202247191015,3.134831460674157,218.0337078651685,0.0,0.2074598373942684,1.6816058578462314,10.801666456255523,1728.0,1592.9775280898875,32.056179775280896,2.0,10.0,353
2.370194213238208,923.0,2.406658739595718,0.0,68.0,53.73563218390806,3.057471264367817,218.5862068965517,0.0,0.1953970715814506,1.7027348394768138,10.173602853745532,1728.0,1607.2183908045977,32.0,2.0,10.0,318
1.445,923.0,1.445,0.0,68.0,64.5,0.65,197.1,0.0,0.107171046,1.105,5.579999999999996,1799.0,1047.3,14.95,2.0,2.0,573
2.225,1728.0,2.225,0.0,61.0,49.675,5.775,210.225,2.0,0.9486118066666668,2.225,17.03625,1941.0,1866.625,24.225,4.0,4.0,333
1.198926592797784,1071.0,1.3677285318559558,0.3716888850415512,52.0,47.878289473684205,6.457236842105263,212.0921052631579,5.0,0.0001452912287417,1.367728531855955,12.37880886426593,2180.0,1827.2993421052631,25.384868421052627,4.0,7.0,288
2.43529198732458,923.0,2.7332548664554093,0.0,73.0,53.93191489361702,3.15531914893617,217.57659574468084,0.0,0.218773187005885,1.7047351742870074,11.719502037120874,1728.0,1583.3128723404254,31.874468085106383,2.0,10.0,318
0.2111999999999999,923.0,0.2111999999999999,0.0,68.0,66.28,0.29,194.31,0.0,0.0117888150599999,0.5568,0.6138000000000022,1728.0,939.15,13.51,2.0,2.0,573
1.254501478097286,1071.0,1.502821822090836,0.4611663531308788,55.0,48.1344262295082,6.334426229508197,215.7704918032787,4.0,0.6670475041926068,1.502821822090836,14.989518946519748,2180.0,1951.55737704918,24.15737704918033,4.0,6.0,263
1.08,923.0,0.095,0.0,73.0,65.45,0.7,195.55,0.0,0.0,0.855,2.94500000000001,1799.0,967.3235,13.4,2.0,2.0,613
3.4,923.0,3.504444444444444,0.0,73.0,54.51666666666667,2.9333333333333336,214.66666666666663,0.0,0.2765277606666667,2.077777777777778,13.77777777777778,1799.0,1508.4823333333331,28.766666666666666,2.0,10.0,313
2.517530864197531,923.0,2.517530864197531,0.0,68.0,54.355555555555554,2.92,216.7333333333333,0.0,0.2246416543209877,1.7905777777777776,12.124444444444451,1768.0,1590.4888888888888,31.0,2.0,10.0,278
3.4,923.0,3.504444444444444,0.0,73.0,54.53333333333333,2.9333333333333336,214.66666666666663,0.0,0.2765277606666667,2.077777777777778,13.77777777777778,1799.0,1498.382333333333,29.066666666666663,2.0,10.0,313
2.210964083175803,1519.0,2.210964083175803,0.0,61.0,48.22608695652173,5.947826086956522,209.17391304347825,2.0,0.7734041607248548,2.210964083175803,15.833648393194707,2128.0,1845.8,25.46086956521739,3.0,4.0,363
2.517530864197531,923.0,2.517530864197531,0.0,68.0,54.355555555555554,2.92,216.7333333333333,0.0,0.2246416543209877,1.7905777777777776,12.124444444444451,1768.0,1590.4888888888888,31.0,2.0,10.0,298
