MagpieData avg_dev NdUnfilled,MagpieData mean NUnfilled,MagpieData mode AtomicWeight,MagpieData mean MendeleevNumber,MagpieData mean MeltingT,MagpieData mean GSvolume_pa,MagpieData mean Electronegativity,MagpieData mode NUnfilled,MagpieData mean Row,MagpieData mode MeltingT,MagpieData mode MendeleevNumber,V0,MagpieData mode NdValence
2.1860113421550094,5.921739130434783,47.867,49.03478260869565,1849.504347826087,14.18413793103478,1.6528695652173913,8.0,4.052173913043478,1941.0,43.0,303,2.0
1.3421485414068282,6.3023255813953485,54.938045,48.20598006644519,1834.8372093023256,13.244313208845517,1.5587043189368772,5.0,4.073089700996678,1519.0,52.0,278,5.0
0.8743425553634749,2.1399491094147582,58.6934,54.4173027989822,1593.762510602205,14.96392705682782,1.7450381679389313,2.0,4.032230703986429,1728.0,61.0,298,8.0
1.3040657439446366,0.9852941176470588,24.305,63.47058823529412,1198.4117647058824,19.610955882352943,1.4825,0.0,3.3823529411764706,923.0,68.0,613,0.0
2.077777777777778,2.9333333333333336,58.6934,54.55,1488.282333333333,16.974375000000002,1.6669999999999998,2.0,4.116666666666667,1728.0,61.0,353,8.0
1.904761904761905,6.199999999999999,47.867,48.14761904761905,1852.6047619047624,14.071032019704765,1.6453809523809526,8.0,4.023809523809524,1941.0,43.0,303,2.0
1.2,0.75,24.305,64.15,1087.55,21.47825,1.3955000000000002,0.0,3.25,923.0,68.0,593,0.0
2.0777978531193533,3.278350515463917,58.6934,53.08659793814433,1601.8660824742265,15.439927835051542,1.74259793814433,2.0,4.261855670103092,1728.0,61.0,323,8.0
0.99,0.55,24.305,64.85,1007.05,22.73525,1.3355,0.0,3.15,923.0,68.0,613,0.0
2.202646502835538,5.939130434782608,47.867,48.49565217391304,1847.034782608696,14.456746626686956,1.647304347826087,8.0,4.069565217391304,1941.0,43.0,343,2.0
3.4,6.12,138.90547,36.78,1459.62,23.61495,1.5028,9.0,5.0,1193.0,13.0,328,1.0
1.3508179465812902,6.35430463576159,54.938045,48.09602649006622,1832.307947019868,13.323769125372516,1.5572516556291391,5.0,4.079470198675496,1519.0,52.0,278,5.0
0.855,0.7,24.305,65.45,967.3235,23.04325,1.3205,0.0,3.1,923.0,68.0,633,0.0
1.914681440443213,3.296842105263158,58.6934,53.01052631578947,1599.4864210526314,15.538352631578949,1.7400421052631578,2.0,4.286315789473684,1728.0,61.0,323,8.0
2.066957168668296,3.2577319587628866,58.6934,53.14845360824742,1601.0104123711335,15.435701030927834,1.7434226804123711,2.0,4.261855670103093,1728.0,61.0,318,8.0
2.1943289224952736,5.930434782608695,47.867,48.76521739130435,1848.269565217392,14.320442278860869,1.650086956521739,8.0,4.060869565217391,1941.0,43.0,323,2.0
0.5238,0.52,24.305,66.57,949.8035,22.85375,1.3223000000000005,0.0,3.06,923.0,68.0,593,0.0
2.101941747572816,5.96116504854369,47.867,48.70873786407768,1844.3562621359224,13.938062437228156,1.6691262135922336,8.0,4.014563106796117,1941.0,43.0,303,2.0
0.3528,0.43,24.305,67.13,941.0435,22.759,1.3232,0.0,3.04,923.0,68.0,613,0.0
2.2222222222222223,3.6666666666666665,58.6934,51.5,1604.0,14.77751436781667,1.715,2.0,4.333333333333333,1728.0,61.0,383,8.0
3.4,6.25,138.90547,36.8,1458.4,23.618375,1.5029999999999997,9.0,5.0,1193.0,13.0,313,1.0
2.1943289224952736,5.930434782608695,47.867,48.76521739130435,1848.269565217392,14.320442278860869,1.650086956521739,8.0,4.060869565217391,1941.0,43.0,303,2.0
1.3508179465812902,6.35430463576159,54.938045,48.09602649006622,1832.307947019868,13.323769125372516,1.5572516556291391,5.0,4.079470198675496,1519.0,52.0,288,5.0
1.784651851851852,2.942222222222222,58.6934,54.2888888888889,1591.3777777777775,15.162766666666666,1.743866666666667,2.0,4.217777777777778,1728.0,61.0,323,8.0
1.9958024691358025,3.855555555555556,58.6934,50.41111111111112,1679.4882222222222,15.58203065134111,1.7319999999999998,2.0,4.266666666666668,1728.0,61.0,300,8.0
1.9444444444444444,3.1666666666666665,58.6934,53.0,1638.8333333333333,14.749583333333334,1.7749999999999997,2.0,4.333333333333333,1728.0,61.0,363,8.0
1.7905777777777776,2.92,58.6934,54.355555555555554,1590.4888888888888,15.164433333333337,1.7445333333333333,2.0,4.217777777777778,1728.0,61.0,278,8.0
2.0,3.0,58.6934,53.5,1622.25,15.419375,1.7349999999999997,2.0,4.166666666666667,1728.0,61.0,293,8.0
1.354666666666667,6.216000000000001,54.938045,48.03733333333334,1814.528,13.81367356322,1.5355466666666668,5.0,4.149333333333334,1519.0,52.0,323,5.0
1.9958024691358025,3.788888888888889,58.6934,50.54444444444445,1685.4882222222222,15.524363984674444,1.7326666666666664,2.0,4.266666666666668,1728.0,61.0,300,8.0
1.9722222222222223,3.2916666666666665,58.6934,53.5,1605.7279166666667,15.00625,1.7625,2.0,4.291666666666667,1728.0,61.0,343,8.0
0.0,0.25,24.305,68.25,923.5235,22.5695,1.325,0.0,3.0,923.0,68.0,573,0.0
1.354666666666667,6.216000000000001,54.938045,48.03733333333334,1814.528,13.81367356322,1.5355466666666668,5.0,4.149333333333334,1519.0,52.0,298,5.0
2.2150000000000003,5.785,47.867,49.645,1867.055,13.661725,1.69375,8.0,4.0,1941.0,43.0,333,2.0
0.1782,0.34,24.305,67.69,932.2835,22.66425,1.3241,0.0,3.02,923.0,68.0,593,0.0
1.484375,1.1874999999999998,24.305,62.3125,1229.3125,19.5540625,1.4918749999999998,0.0,3.4375,923.0,68.0,633,0.0
1.3040657439446366,0.9852941176470588,24.305,63.47058823529412,1198.4117647058824,19.610955882352943,1.4825,0.0,3.3823529411764706,923.0,68.0,633,0.0
2.077777777777778,2.9333333333333336,58.6934,54.56666666666666,1478.1823333333332,17.049916666666668,1.6649999999999998,2.0,4.133333333333334,1728.0,61.0,373,8.0
2.066957168668296,3.391752577319588,58.6934,53.169072164948446,1599.752680412371,15.439231958762884,1.7436288659793813,2.0,4.261855670103093,1728.0,61.0,298,8.0
2.1943289224952736,5.930434782608695,47.867,48.76521739130435,1848.269565217392,14.320442278860869,1.650086956521739,8.0,4.060869565217391,1941.0,43.0,343,2.0
3.4,6.25,138.90547,36.8,1458.4,23.618375,1.5029999999999997,9.0,5.0,1193.0,13.0,328,1.0
1.1539792387543253,0.8529411764705882,24.305,64.29411764705881,1185.529411764706,19.47161764705882,1.4838235294117648,0.0,3.352941176470588,923.0,68.0,593,0.0
1.7047351742870074,3.15531914893617,58.6934,53.93191489361702,1583.3128723404254,15.401723404255318,1.7409787234042555,2.0,4.261702127659574,1728.0,61.0,338,8.0
1.105,0.65,24.305,64.5,1047.3,22.10675,1.3655000000000002,0.0,3.2,923.0,68.0,613,0.0
1.3333333333333333,6.25,54.938045,48.31666666666666,1837.3833333333328,13.164327586208335,1.5601666666666667,5.0,4.066666666666666,1519.0,52.0,308,5.0
2.077777777777778,2.9333333333333336,58.6934,54.51666666666667,1508.4823333333331,16.82329166666667,1.671,2.0,4.083333333333333,1728.0,61.0,373,8.0
2.077777777777778,2.9333333333333336,58.6934,54.5,1518.582333333333,16.747750000000003,1.673,2.0,4.066666666666666,1728.0,61.0,373,8.0
1.6216666666666664,4.25,58.6934,52.75,1627.3666666666668,14.806666666666668,1.7711666666666666,2.0,4.266666666666667,1728.0,61.0,363,8.0
1.796503703703704,2.875555555555556,58.6934,54.48888888888889,1588.711111111111,15.167766666666669,1.745866666666667,2.0,4.217777777777778,1728.0,61.0,348,8.0
1.796503703703704,2.875555555555556,58.6934,54.48888888888889,1588.711111111111,15.167766666666669,1.745866666666667,2.0,4.217777777777778,1728.0,61.0,323,8.0
2.25,5.750000000000001,47.867,49.75,1865.55,13.64475,1.6955,8.0,4.0,1941.0,43.0,313,2.0
0.855,1.5,24.305,63.1,951.5,24.1245,1.2935,0.0,3.3,923.0,68.0,593,0.0
1.6355555555555554,3.95,58.6934,52.96666666666667,1626.0666666666666,14.807208333333335,1.7733333333333332,2.0,4.266666666666667,1728.0,61.0,363,8.0
0.8959487534626039,2.171052631578948,58.6934,54.8108552631579,1599.5065789473683,14.726122532894738,1.7516118421052629,2.0,4.027960526315789,1728.0,61.0,318,8.0
1.711246537396122,3.107368421052632,58.6934,54.18947368421052,1581.0443157894738,15.33887894736842,1.7419368421052632,2.0,4.24421052631579,1728.0,61.0,323,8.0
