MagpieData avg_dev Column,MagpieData avg_dev CovalentRadius,MagpieData avg_dev GSvolume_pa,MagpieData avg_dev MeltingT,MagpieData avg_dev NValence,MagpieData avg_dev NdUnfilled,MagpieData avg_dev SpaceGroupNumber,MagpieData maximum NValence,MagpieData mean Column,MagpieData mean GSvolume_pa,MagpieData mean MeltingT,MagpieData mean MendeleevNumber,MagpieData mode Column,MagpieData mode MendeleevNumber,MagpieData range Electronegativity,V0
1.0672,2.911799999999999,0.6373749999999991,50.951790000000095,0.1472,0.5238,2.94500000000001,3.0,2.58,22.85375,949.8035,66.57,2.0,68.0,0.3900000000000001,593.0
1.0738,3.843200000000008,0.7533200000000022,67.23492000000007,0.1637999999999999,0.6912,2.94500000000001,3.0,2.59,22.948500000000003,958.5635,66.01,2.0,68.0,0.3900000000000001,593.0
2.1776937618147447,15.051039697542535,3.3226953914344044,110.44612476370509,2.1776937618147447,2.1776937618147447,15.833648393194704,10.0,6.086956521739131,14.047833583208694,1850.7391304347827,49.30434782608695,4.0,43.0,0.5799999999999998,363.0
2.512941481994459,15.26139413088644,6.993917963339683,212.5338253116344,2.512941481994459,0.8959487534626039,9.572108725761789,10.0,8.348684210526317,14.726122532894738,1599.5065789473683,54.8108552631579,10.0,61.0,0.91,278.0
1.904761904761905,13.746031746031749,3.2281093126902496,96.26367346938774,1.904761904761905,1.904761904761905,16.263038548752835,8.0,5.800000000000001,14.071032019704765,1852.6047619047624,48.14761904761905,4.0,43.0,0.6100000000000001,303.0
2.4099722991689747,23.853739612188377,7.909923988919668,203.20010193905827,2.4188808864265927,1.914681440443213,11.421606648199466,10.0,8.593684210526316,15.538352631578949,1599.4864210526314,53.01052631578947,10.0,61.0,0.8099999999999998,348.0
2.4099722991689747,23.853739612188377,7.909923988919668,203.20010193905827,2.4188808864265927,1.914681440443213,11.421606648199466,10.0,8.593684210526316,15.538352631578949,1599.4864210526314,53.01052631578947,10.0,61.0,0.8099999999999998,323.0
2.5076543209876547,20.87506172839506,7.543192592592593,217.8567901234568,2.5076543209876547,1.784651851851852,12.736790123456789,10.0,8.302222222222222,15.162766666666666,1591.3777777777775,54.2888888888889,10.0,61.0,0.8099999999999998,278.0
2.599419729346113,15.92852297162459,7.290089105285385,217.20611118664843,2.599419729346113,0.8743425553634749,8.34566750189383,10.0,8.316369804919423,14.96392705682782,1593.762510602205,54.4173027989822,10.0,61.0,0.91,318.0
2.202646502835538,15.799621928166353,3.7138296069353496,109.40899810964082,2.202646502835538,2.202646502835538,15.833648393194704,10.0,6.060869565217391,14.456746626686956,1847.034782608696,48.49565217391304,4.0,43.0,0.69,363.0
1.0601999999999998,1.998000000000009,0.6279000000000002,34.3182600000001,0.1301999999999998,0.3528,2.94500000000001,3.0,2.57,22.759,941.0435,67.13,2.0,68.0,0.3900000000000001,573.0
1.930555555555556,23.02777777777777,7.383680555555557,149.16666666666666,1.930555555555556,1.930555555555556,10.22569444444445,10.0,8.791666666666666,14.746458333333337,1640.5,52.875,10.0,61.0,0.8099999999999998,343.0
1.445,4.825,2.357350000000002,211.31,1.445,1.105,5.579999999999996,10.0,2.85,22.10675,1047.3,64.5,2.0,68.0,0.69,593.0
3.4,21.53333333333333,8.361111111111112,310.89022222222235,3.462222222222222,2.077777777777778,13.77777777777778,10.0,7.6,16.898833333333336,1498.382333333333,54.53333333333333,10.0,61.0,0.8099999999999998,373.0
1.2213333333333336,12.639999999999995,4.153817624520001,276.3230293333333,1.2213333333333336,1.354666666666667,11.822222222222225,7.0,5.783999999999999,13.81367356322,1814.528,48.03733333333334,7.0,52.0,0.4399999999999999,323.0
2.024601753228391,14.60571213120935,3.4945469770297386,85.51083985295503,2.024601753228391,2.0397304175699875,16.807946083513993,11.0,5.883495145631067,14.351557582859222,1852.923834951456,47.6990291262136,4.0,43.0,0.6799999999999999,303.0
0.18,10.8,2.222099999999997,51.3,0.72,0.855,2.660000000000005,8.0,2.1,24.1245,951.5,63.1,2.0,68.0,0.1899999999999999,653.0
1.0528,1.948999999999992,0.6184250000000044,17.452980000000004,0.1128,0.1782,2.94500000000001,3.0,2.56,22.66425,932.2835,67.69,2.0,68.0,0.3900000000000001,573.0
2.4977777777777783,20.85530864197531,7.543933333333334,218.25185185185188,2.4977777777777783,1.7767506172839505,13.287901234567904,10.0,8.28,15.1611,1592.2666666666669,54.22222222222222,10.0,61.0,0.8099999999999998,323.0
1.08,4.75499999999999,0.9321749999999968,83.16765000000007,0.18,0.855,2.94500000000001,3.0,2.6,23.04325,967.3235,65.45,2.0,68.0,0.3900000000000001,613.0
2.599419729346113,15.92852297162459,7.290089105285385,217.20611118664843,2.599419729346113,0.8743425553634749,8.34566750189383,10.0,8.316369804919423,14.96392705682782,1593.762510602205,54.4173027989822,10.0,61.0,0.91,298.0
2.360460069444444,23.19733796296297,7.796215602051361,91.98517071759257,2.28125,2.360460069444444,10.202256944444436,10.0,8.447916666666668,15.25054088841007,1687.8229166666667,50.68402777777778,10.0,61.0,0.8099999999999998,298.0
2.1860113421550094,15.300567107750473,3.453073463268053,110.14336483931946,2.1860113421550094,2.1860113421550094,15.833648393194704,10.0,6.0782608695652165,14.18413793103478,1849.504347826087,49.03478260869565,4.0,43.0,0.69,363.0
1.9166666666666672,20.74999999999999,7.484930555555556,173.22222222222226,1.777777777777778,1.568888888888889,14.656111111111109,10.0,8.549999999999999,14.788458333333333,1636.0666666666666,52.21666666666667,10.0,61.0,0.91,293.0
1.944444444444444,23.05555555555556,7.382638888888889,148.61111111111117,1.944444444444444,1.9444444444444444,8.611111111111105,10.0,8.833333333333334,14.749583333333334,1638.8333333333333,53.0,10.0,61.0,0.8099999999999998,343.0
2.378786268466362,23.09652460410245,7.747711127643743,201.89627675629728,2.5010096715910297,1.9759804442555,10.606015517058154,10.0,8.618556701030927,15.39789175257732,1602.5774226804122,53.251546391752576,10.0,61.0,0.8099999999999998,298.0
1.944444444444444,23.05555555555556,7.382638888888889,148.61111111111117,1.944444444444444,1.9444444444444444,8.611111111111105,10.0,8.833333333333334,14.749583333333334,1638.8333333333333,53.0,10.0,61.0,0.8099999999999998,363.0
2.210964083175803,16.04914933837429,3.8442076787689983,108.9773913043478,2.210964083175803,2.210964083175803,15.833648393194707,10.0,6.052173913043478,14.593050974513044,1845.8,48.22608695652173,4.0,43.0,0.69,363.0
1.44,12.058000000000002,2.791245000000001,166.14399999999995,1.4880000000000002,1.76,5.579999999999996,10.0,2.9,23.044025,1026.84,61.86,2.0,68.0,0.8099999999999998,633.0
1.0601999999999998,1.998000000000009,0.6279000000000002,34.3182600000001,0.1301999999999998,0.3528,2.94500000000001,3.0,2.57,22.759,941.0435,67.13,2.0,68.0,0.3900000000000001,593.0
2.225,14.95,3.033125,74.375,2.225,2.225,17.03625,10.0,6.225,13.656875,1866.625,49.675,4.0,43.0,0.3699999999999999,313.0
1.904761904761905,13.746031746031749,3.2281093126902496,96.26367346938774,1.904761904761905,1.904761904761905,16.263038548752835,8.0,5.800000000000001,14.071032019704765,1852.6047619047624,48.14761904761905,4.0,43.0,0.6100000000000001,373.0
3.295847750865052,8.330449826989621,5.465268166089965,364.5155709342561,3.295847750865052,1.3040657439446366,12.871972318339102,10.0,4.397058823529411,19.610955882352943,1198.4117647058824,63.47058823529412,2.0,68.0,0.69,593.0
2.2,14.8,3.021000000000001,73.30000000000001,2.2,2.2,17.1,10.0,6.2,13.669,1867.7,49.6,4.0,43.0,0.3699999999999999,353.0
